学号,姓名,年级,专业院系,专业,加权平均分,排名,总人数
stu_id,stu_name,stu_grade,stu_college,stu_major,weighted_avg_mark,rank_in_major,total_in_major
2210650101,郑英,2022,基础学院,智能建造,91.71,1,20
2210650102,张玉梅,2022,基础学院,智能建造,91.15,2,20
2210650103,詹婷婷,2022,基础学院,智能建造,88.48,3,20
2210650104,杨宇,2022,基础学院,智能建造,88.08,4,20
2210650105,岑敏,2022,基础学院,智能建造,87.35,5,20
2210650106,葛超,2022,基础学院,智能建造,87.25,6,20
2210650107,黄敏,2022,基础学院,智能建造,86.27,7,20
2210650108,黄晶,2022,基础学院,智能建造,86.12,8,20
2210650109,马斌,2022,基础学院,智能建造,85.84,9,20
2210650110,赵桂兰,2022,基础学院,智能建造,85.7,10,20
2210650111,程林,2022,基础学院,智能建造,84.81,11,20
2210650112,郭秀芳,2022,基础学院,智能建造,84.17,12,20
2210650113,黄成,2022,基础学院,智能建造,83.95,13,20
2210650114,陈秀荣,2022,基础学院,智能建造,83.75,14,20
2210650115,霍桂荣,2022,基础学院,智能建造,83.66,15,20
2210650116,宋飞,2022,基础学院,智能建造,83.04,16,20
2210650117,陈艳,2022,基础学院,智能建造,82.8,17,20
2210650118,潘婷婷,2022,基础学院,智能建造,82.66,18,20
2210650119,吴瑜,2022,基础学院,智能建造,82.28,19,20
2210650120,杨利,2022,基础学院,智能建造,81.86,20,20
